"m_thr","p_thr","Sharpe","Ann_Ret","Trades","Score"
0.72,0.56,1.18976081246567,0.145165711420743,118,0.794544593268055
0.86,0.64,1.21665935312247,0.1424072726373,65,0.794530816538676
0.86,0.66,1.21665935312247,0.1424072726373,65,0.794530816538676
0.86,0.68,1.21665935312247,0.1424072726373,65,0.794530816538676
0.88,0.64,1.21656776463473,0.141959776256027,60,0.7660054682856
0.88,0.66,1.21656776463473,0.141959776256027,60,0.7660054682856
0.88,0.68,1.21656776463473,0.141959776256027,60,0.7660054682856
0.84,0.64,1.20915271799886,0.142719624329469,71,0.765974106341175
0.72,0.38,1.20513308077121,0.142948101463588,86,0.75450481047895
0.56,0.62,1.13148834843883,0.150270122874568,204,0.740168477783952
0.78,0.62,1.20202232046328,0.142913402272548,94,0.732423065141983
0.68,0.34,1.2015968158781,0.142809322062041,90,0.72320080639981
0.66,0.3,1.20485775265338,0.142467776551345,88,0.722753529767218
0.68,0.32,1.20490454082104,0.142380107404193,86,0.71757953535393
0.66,0.56,1.15710049632798,0.146979226062028,142,0.698675624435548
0.78,0.34,1.21956008374679,0.140388886122803,60,0.687085571242427
0.8,0.36,1.21871347633104,0.140311626251448,56,0.676841879754291
0.82,0.62,1.20475555356576,0.141720775807347,75,0.675460994635479
0.54,0.62,1.1256282200335,0.149549241398021,210,0.657643949920473
0.84,0.66,1.20068658491076,0.141778559986508,72,0.653018830181336
0.84,0.68,1.20068658491076,0.141778559986508,72,0.653018830181336
0.7,0.42,1.19017577528305,0.142854778749911,100,0.652920435727633
0.66,0.44,1.16768851811845,0.145127263954577,115,0.650835573262933
0.66,0.32,1.19736549400255,0.141628128159314,90,0.622364879528753
0.58,0.62,1.12417534056513,0.149088201830313,195,0.619557952747964
0.78,0.38,1.21248400111535,0.139867066565735,63,0.609204640276249
0.72,0.4,1.1917187875251,0.141991180140467,91,0.608881003134992
0.7,0.3,1.19550088006103,0.14103491974442,80,0.573391094879348
0.76,0.62,1.18393085390079,0.141919631735797,101,0.554554976794287
0.68,0.42,1.17953809751176,0.142229280059416,105,0.545764784746327
0.8,0.34,1.20852115724418,0.139047098405941,55,0.532640300975225
0.68,0.28,1.19453749121443,0.140368331025816,76,0.525605598971773
0.52,0.66,1.10420352572345,0.14962975169,234,0.525507926361878
0.5,0.36,1.15140494635923,0.144743112407992,141,0.522602727056684
0.66,0.48,1.15315946104201,0.144511977623721,126,0.51940459979195
0.78,0.58,1.18703781860979,0.140751701637529,90,0.501527458976118
0.72,0.44,1.17923869902173,0.141385420749481,96,0.491162495076161
0.8,0.62,1.18412224202247,0.140656006450408,88,0.476887071059485
0.7,0.32,1.18799385597053,0.140195271352389,82,0.472907915117252
0.5,0.2,1.18869523591715,0.140030880306513,85,0.46713461410464
0.74,0.36,1.19618037867317,0.139232215053756,73,0.465191225027642
0.78,0.6,1.18361086670216,0.140356687752052,93,0.454925540228998
0.8,0.38,1.20146355108909,0.138525278848873,58,0.454877657885882
0.52,0.62,1.10611928799742,0.148248246440284,216,0.451519883308668
0.72,0.34,1.18650948790424,0.139927263579666,79,0.446672073538765
0.82,0.58,1.18965337093148,0.139559075172328,72,0.443811986715174
0.74,0.58,1.17486759159544,0.140892490119123,108,0.43240268274635
0.66,0.28,1.18696041643837,0.139616351780936,80,0.430147485126021
0.9,0.64,1.19764794335174,0.138287741037116,49,0.415619395507926
0.9,0.66,1.19764794335174,0.138287741037116,49,0.415619395507926
0.9,0.68,1.19764794335174,0.138287741037116,49,0.415619395507926
0.64,0.62,1.11950318832032,0.14627037828702,168,0.413718450996034
0.82,0.6,1.18618842629109,0.139164061286852,74,0.396966835459523
0.74,0.6,1.17148116608073,0.140497476233646,111,0.386060217202351
0.7,0.54,1.15651938856644,0.141676635585324,124,0.363893364200632
0.72,0.48,1.16372363704133,0.140770134418625,106,0.35341903948573
0.66,0.46,1.14486471965929,0.142513135591389,120,0.341505289145246
0.52,0.36,1.14343035367441,0.142652849355521,133,0.34104525347879
0.74,0.38,1.18597628917194,0.138284930856791,76,0.340721082751766
0.82,0.36,1.19585170331707,0.137040576987451,47,0.326254276499138
0.78,0.3,1.19443236951675,0.137153136939912,57,0.324195156856567
0.78,0.32,1.19439907915782,0.137149336722656,58,0.323744766536425
0.76,0.36,1.18910166693753,0.137640644180466,66,0.320504602975152
0.66,0.2,1.19211316466254,0.137097581191471,60,0.30587885431801
0.68,0.2,1.19211316466254,0.137097581191471,58,0.30587885431801
0.66,0.5,1.13618900947392,0.142551733639089,130,0.288372530570683
0.8,0.3,1.19183344033368,0.136843312467864,53,0.288213021992608
0.8,0.32,1.19180014803353,0.136839512250608,54,0.28776261924468
0.7,0.52,1.15091794046199,0.140966401163401,121,0.283689666541704
0.7,0.28,1.17752836283605,0.138183494974011,72,0.280303735409808
0.72,0.42,1.16437119495645,0.139347221577041,94,0.268726609061441
0.78,0.4,1.18509249336949,0.137187221052075,65,0.266528531690668
0.78,0.56,1.17036827744488,0.138605261678037,87,0.260796881699074
0.8,0.58,1.16908007829638,0.138494305815389,84,0.245622308981409
0.86,0.62,1.17997294474882,0.136982892552128,63,0.220995726018578
0.62,0.6,1.10800922977377,0.144349543046039,175,0.220207773060807
0.5,0.6,1.08849046589415,0.146141026560513,226,0.207096579539035
0.82,0.56,1.17282388339651,0.137412635212837,69,0.202057420006653
0.68,0.58,1.12768598229023,0.142004172077283,138,0.199749010191012
0.8,0.6,1.16565161586599,0.138099291929912,87,0.199010719746933
0.74,0.4,1.17232800778842,0.137328009533669,79,0.193599264670171
0.84,0.62,1.17263224593858,0.137295244244297,69,0.193501353347906
0.74,0.56,1.15835502766624,0.138746050159631,104,0.19267708626566
0.88,0.62,1.17979793265544,0.136535396170855,58,0.191936293181457
0.6,0.36,1.14069958242858,0.140475718470159,113,0.187635636689069
0.72,0.3,1.16932439254154,0.13752736257155,74,0.186816288670605
0.82,0.34,1.18560191222185,0.135776049141943,46,0.181684757333883
0.5,0.38,1.12557082123147,0.14190406237613,146,0.179957330602199
0.76,0.34,1.1789418192465,0.136376116334958,65,0.176510908664687
0.72,0.46,1.15549651074557,0.138771292386294,101,0.175952606024223
0.68,0.44,1.13953275779276,0.140311367706923,109,0.169904455785728
0.68,0.6,1.12479189995552,0.141652323372151,143,0.15925354009346
