"Open","Close","Score","Sharpe","Ret"
0.6,0.49,1.20995098301322,1.29297000617027,0.115460496757519
0.61,0.49,1.29810536942985,1.45435854285381,0.119393658714722
0.62,0.49,1.29810536942985,1.45435854285381,0.119393658714722
0.63,0.49,0,0,0
0.64,0.49,0,0,0
0.65,0.49,0,0,0
0.52,0.5,1.25568747484698,1.31193265164376,0.121819069031579
0.53,0.5,1.26292788165824,1.32127855652428,0.122402743174754
0.54,0.5,1.26292788165824,1.32127855652428,0.122402743174754
0.55,0.5,1.25927803262831,1.31745119643472,0.122049592342404
0.56,0.5,1.25860444203944,1.31686091445651,0.121976679376139
0.57,0.5,1.24331306303813,1.32222347865207,0.119070611929551
0.58,0.5,1.24859973924007,1.3279586546162,0.119569379565598
0.59,0.5,1.24859973924007,1.3279586546162,0.119569379565598
0.6,0.5,1.15193390697195,1.26013795727292,0.107979787343797
0.61,0.5,1.24426457515736,1.4319671983784,0.111912949301
0.62,0.5,1.24426457515736,1.4319671983784,0.111912949301
0.63,0.5,0,0,0
0.64,0.5,0,0,0
0.65,0.5,0,0,0
0.53,0.51,1.28127716378727,1.3619105558739,0.122752156906285
0.54,0.51,1.20642350403008,1.28613942596378,0.115327955607427
0.55,0.51,1.20717915781375,1.3028815810524,0.114337754232132
0.56,0.51,1.19605796590486,1.29854602996644,0.112773258986381
0.57,0.51,1.13334398010031,1.23448961952722,0.10659135538157
0.58,0.51,1.1387254375953,1.24046174872401,0.107090123017617
0.59,0.51,1.1849953809914,1.29430308176558,0.111212358047528
0.6,0.51,1.07665242363252,1.19845889435906,0.0995448109814831
0.61,0.51,1.17081326914699,1.37486357878718,0.103477972938686
0.62,0.51,1.17081326914699,1.37486357878718,0.103477972938686
0.63,0.51,0,0,0
0.64,0.51,0,0,0
0.65,0.51,0,0,0
0.54,0.52,1.39428882583437,1.5354610482827,0.130017401086882
0.55,0.52,1.38733572949152,1.54377860466298,0.128304047937721
0.56,0.52,1.26672032235384,1.41537156923926,0.11676194910969
0.57,0.52,1.30316512497766,1.4669137757362,0.119399935780531
0.58,0.52,1.21242146985628,1.36915982079297,0.110792923589849
0.59,0.52,1.27254864894176,1.44163310222863,0.115982568008384
0.6,0.52,1.27365596498514,1.47217815740941,0.11413078367023
0.61,0.52,1.19238727989549,1.40228702547165,0.105245411617805
0.62,0.52,1.19238727989549,1.40228702547165,0.105245411617805
0.63,0.52,0,0,0
0.64,0.52,0,0,0
0.65,0.52,0,0,0
0.55,0.53,1.2203405616141,1.49137040181294,0.103965400148154
0.56,0.53,1.09010114136061,1.34749145202025,0.0918507600920859
0.57,0.53,1.1382290641018,1.41915265652448,0.0950946669153338
0.58,0.53,1.10628671011391,1.392332126645,0.0915589765759847
0.59,0.53,1.25732038327149,1.65610044599808,0.0991467008120433
0.6,0.53,1.2218518557486,1.66430088133142,0.0926885838693389
0.61,0.53,0.691864675827501,1.01398161699877,0.0477120048379985
0.62,0.53,0.691864675827501,1.01398161699877,0.0477120048379985
0.63,0.53,0,0,0
0.64,0.53,0,0,0
0.65,0.53,0,0,0
0.56,0.54,0.682099875198994,0.893027305328533,0.0541481588445968
0.57,0.54,0.628396679187383,0.839500731230502,0.0487660644491971
0.58,0.54,0.476780384631094,0.670383397590518,0.0347711709324811
0.59,0.54,0.732220557588729,1.09092481236591,0.0493084387737277
0.6,0.54,0.704886522437207,1.09267285486113,0.044636230082126
0.61,0.54,0.440476745057926,0.713753414264392,0.0258292298920282
0.62,0.54,0.440476745057926,0.713753414264392,0.0258292298920282
0.63,0.54,0,0,0
0.64,0.54,0,0,0
0.65,0.54,0,0,0
0.57,0.55,0.169590869942517,0.254253814630006,0.0113148906817524
0.58,0.55,0.22867596425368,0.358754830695641,0.0141956719959038
0.59,0.55,0.478367503634232,0.78758913956217,0.0272219746348941
0.6,0.55,0.496348373538575,0.85198536052692,0.0259257048879679
0.61,0.55,0.311806708204662,0.564465444255174,0.0143367550837653
0.62,0.55,0.311806708204662,0.564465444255174,0.0143367550837653
0.63,0.55,0,0,0
0.64,0.55,0,0,0
0.65,0.55,0,0,0
0.59,0.56,0.390552609251069,0.735037287849014,0.0160896156852438
0.6,0.56,0.264546810523439,0.520223141895936,0.00940959229417752
0.61,0.56,0.228141390918946,0.470600949557634,0.00665016851598202
0.62,0.56,0.228141390918946,0.470600949557634,0.00665016851598202
0.63,0.56,0,0,0
0.64,0.56,0,0,0
0.65,0.56,0,0,0
0.6,0.57,0.107979370324096,0.245588477097806,0.00162399658082886
0.61,0.57,0.0911959174537394,0.212276081924032,0.00104758078068779
0.62,0.57,0.0911959174537394,0.212276081924032,0.00104758078068779
0.63,0.57,0,0,0
0.64,0.57,0,0,0
0.65,0.57,0,0,0
0.61,0.58,-0.0387951415804548,-0.0913492702282728,-0.00037590558152428
0.62,0.58,-0.0387951415804548,-0.0913492702282728,-0.00037590558152428
0.63,0.58,0,0,0
0.64,0.58,0,0,0
0.65,0.58,0,0,0
