"open_thr","close_thr","m_thr","p_thr","Sharpe","Ann_Ret","Score"
0.59,0.49,0.4,0.9,1.02556951581101,0.204450021096161,1.24548913946722
0.53,0.51,0.4,0.9,1.04456207287169,0.20242037595081,1.24345683242875
0.57,0.48,0.4,0.9,1.02145174566292,0.204494208954342,1.24183067136809
0.57,0.49,0.4,0.9,1.02145174566292,0.204494208954342,1.24183067136809
0.57,0.52,0.5,0.9,1.26256983864146,0.180872854525198,1.23824934669762
0.61,0.48,0.2,1,1.07027470949464,0.199371314613862,1.23758577921107
0.61,0.49,0.2,1,1.07027470949464,0.199371314613862,1.23758577921107
0.57,0.51,0.4,0.9,1.0668326566589,0.199141666486938,1.23176718960839
0.55,0.52,0.1,0.9,1.00348345593334,0.205040240750834,1.22952409588902
0.59,0.53,0.2,0.9,1.33431667059055,0.172944402228712,1.22786727229348
0.55,0.5,0.4,0.9,1.02237365299655,0.202729346134716,1.22447715262083
0.55,0.52,0.3,0.8,1.13146454971904,0.192086995939612,1.22332113396098
0.59,0.53,0.4,0.8,1.40877047273043,0.164809691548122,1.21805523261703
0.59,0.52,0.7,0.9,1.36747456736104,0.16863897471928,1.2164287458773
0.61,0.48,0.4,0.9,1.17545695477733,0.186602879612198,1.21050729436833
0.61,0.49,0.4,0.9,1.17545695477733,0.186602879612198,1.21050729436833
0.57,0.52,0.4,0.8,1.15774162798269,0.188281107593197,1.21017739079417
0.59,0.53,0.5,1,1.46522241919687,0.158035672149294,1.20433881023913
0.59,0.51,0.3,1,1.0343639166862,0.199257021551465,1.2005066614429
0.61,0.5,0.4,1,1.19587612212045,0.183562965656561,1.19943972884781
0.59,0.52,0.5,1,1.25897743693192,0.177330088858187,1.19797336097445
0.59,0.51,0.4,0.8,1.09647555943078,0.19300992293289,1.19790377363437
0.53,0.48,0.2,1,0.929276222818038,0.209120513370077,1.19759916518051
0.53,0.49,0.2,1,0.929276222818038,0.209120513370077,1.19759916518051
0.53,0.5,0.2,1,0.935962974028973,0.207530401353978,1.1878175875982
0.59,0.48,0.6,1,1.13555262475646,0.188214890029824,1.18731208382599
0.59,0.49,0.6,1,1.13555262475646,0.188214890029824,1.18731208382599
0.57,0.52,0.6,0.8,1.29748666808448,0.172371957585936,1.1851252041832
0.59,0.52,0.2,0.8,1.15085181570594,0.186406595558841,1.18388004254226
0.57,0.52,0,0.9,0.969514027366605,0.203881502621144,1.18357036326016
0.59,0.52,0.4,0.7,1.21183821218927,0.180387927895739,1.1825177711631
0.53,0.51,0,0.8,0.904597238604443,0.209986387691624,1.18189667841739
0.55,0.48,0.2,1,0.922998671113077,0.207707910040678,1.17669685260278
0.55,0.49,0.2,1,0.922998671113077,0.207707910040678,1.17669685260278
0.59,0.48,0.2,1,0.924983868786582,0.207372070317436,1.17520361364812
0.59,0.49,0.2,1,0.924983868786582,0.207372070317436,1.17520361364812
0.53,0.48,0,0.7,0.898043985582136,0.20983458359606,1.17377427283274
0.53,0.49,0,0.7,0.898043985582136,0.20983458359606,1.17377427283274
0.55,0.52,0.5,0.8,1.24374086604417,0.176408394354017,1.17319914242457
0.57,0.48,0.2,1,0.922082214578119,0.207416258175618,1.17276074768791
0.57,0.49,0.2,1,0.922082214578119,0.207416258175618,1.17276074768791
0.59,0.52,0.6,0.9,1.29877395139508,0.171029828190331,1.17251428340566
0.59,0.53,0.6,1,1.49209637233975,0.15228072541035,1.1716093203439
0.61,0.51,0.4,1,1.2008586797354,0.180162989952225,1.16921366011054
0.55,0.51,0.6,1,1.16335842761102,0.183568579069934,1.16699389936303
0.55,0.5,0.2,1,0.929591967688566,0.206117798024579,1.16682185986897
0.53,0.51,0,0.7,0.917468045768305,0.207204227218678,1.16595296194029
0.53,0.48,0.6,1,1.12359195257385,0.187081118223332,1.16361633364037
0.53,0.49,0.6,1,1.12359195257385,0.187081118223332,1.16361633364037
0.59,0.53,0.3,0.7,1.39393746052971,0.160878894680469,1.16252534832688
0.55,0.51,0.4,0.8,1.05327185739128,0.193130045852138,1.15596218966745
0.55,0.48,0,0.7,0.891998017666961,0.208421980266662,1.15310344620223
0.55,0.49,0,0.7,0.891998017666961,0.208421980266662,1.15310344620223
0.59,0.53,0.7,0.8,1.59161630020185,0.140796878312716,1.15217273229004
0.55,0.48,0.6,1,1.11934044682465,0.186374816558633,1.15205291757558
0.55,0.49,0.6,1,1.11934044682465,0.186374816558633,1.15205291757558
0.61,0.48,0,0.8,0.982263766138046,0.199594393348939,1.15192198527515
0.61,0.49,0,0.8,0.982263766138046,0.199594393348939,1.15192198527515
0.59,0.48,0,0.7,0.893676766582068,0.20808614054342,1.15130388796167
0.59,0.49,0,0.7,0.893676766582068,0.20808614054342,1.15130388796167
0.57,0.48,0.6,1,1.11867297295086,0.186228990626102,1.14987570791668
0.57,0.49,0.6,1,1.11867297295086,0.186228990626102,1.14987570791668
0.59,0.53,0.3,0.8,1.36804156987076,0.162146064206073,1.14976185427933
0.57,0.48,0,0.7,0.891090035861594,0.208130328401601,1.14917581243643
0.57,0.49,0,0.7,0.891090035861594,0.208130328401601,1.14917581243643
0.53,0.48,0,0.8,0.871436670662669,0.209998156099795,1.14887198166981
0.53,0.49,0,0.8,0.871436670662669,0.209998156099795,1.14887198166981
0.61,0.48,0,0.7,1.00663634951465,0.196725030011359,1.14657220575176
0.61,0.49,0,0.7,1.00663634951465,0.196725030011359,1.14657220575176
0.55,0.51,0.5,1,1.1123367803802,0.186057889556108,1.14177045219618
0.59,0.52,0.7,1,1.32971034477323,0.165070084427411,1.14172485789225
0.59,0.53,0.7,0.9,1.5468761882529,0.14390089190327,1.13959337607488
0.59,0.53,0.7,0.7,1.58688519785609,0.139953557621781,1.13871109939297
0.57,0.51,0.3,1,0.998081734269532,0.196604083552002,1.13676881226742
0.61,0.51,0.2,1,1.10253600186349,0.186456901809106,1.13610555966213
0.53,0.51,0.3,1,0.97069358628081,0.19916955959292,1.13595756858088
0.59,0.52,0.7,0.8,1.35511486416321,0.162039498547301,1.1357371297402
0.53,0.51,0.6,1,1.14206426771419,0.182565559235364,1.13532253273144
0.59,0.48,0.7,0.8,1.18836073100036,0.177950287891003,1.1338086096671
0.59,0.49,0.7,0.8,1.18836073100036,0.177950287891003,1.1338086096671
0.59,0.5,0.4,0.9,1.01197977023038,0.194817893018747,1.13216509277185
0.55,0.52,0.6,0.7,1.26893204751243,0.169955928654598,1.13156482958195
0.55,0.48,0,0.8,0.865574409280067,0.208585552770397,1.12838478395712
0.55,0.49,0,0.8,0.865574409280067,0.208585552770397,1.12838478395712
0.57,0.5,0.4,0.9,1.00761965818768,0.194862080876928,1.1282643851659
0.59,0.48,0,0.8,0.867022673390611,0.208249713047155,1.12635483829026
0.59,0.49,0,0.8,0.867022673390611,0.208249713047155,1.12635483829026
0.59,0.5,0.7,0.8,1.21422129878719,0.174584668214517,1.1248074846577
0.57,0.48,0,0.8,0.86467450402155,0.208293900905336,1.12446522332589
0.57,0.49,0,0.8,0.86467450402155,0.208293900905336,1.12446522332589
0.55,0.53,0.6,1,1.31803866841651,0.164380312440252,1.12291556989797
0.59,0.52,0.2,0.7,1.14800401687678,0.180782857498075,1.12280001500865
0.57,0.52,0.4,0.7,1.13998293525935,0.181465238141428,1.12184832821349
0.55,0.52,0.5,0.7,1.24120799332954,0.171443211488987,1.11925320300311
0.59,0.51,0.7,0.8,1.24474298283521,0.171056956423947,1.11878705360821
0.57,0.52,0.2,0.8,1.0858881623665,0.18630050130186,1.11784523696089
0.59,0.53,0.1,0.8,1.30070921699331,0.165459267536665,1.11676594798491
0.61,0.5,0.4,0.9,1.17930200158136,0.176970751534785,1.1146106739767
0.57,0.52,0.7,0.7,1.32305193593826,0.162840650487695,1.11198362269919
0.55,0.5,0,1,0.804512912675365,0.212706971598007,1.11002610201369
0.55,0.52,0.3,0.7,1.10426920698417,0.183675080971719,1.1090324636063
